"src" "target_id" "target_type" "player_id" "query_id" "answer" "answer_latency" "clip_id" "test_order" "age_grp" "clip_order"
"181" "156t_edesta_vas.kaantyva_auto.mp4" 1417082344150 "occlusion" "118_y1_n" 4 "present" 2.246 "156t" "1" "C" "5"
"182" "156t_edesta_vas.kaantyva_auto.mp4" 1417082359237 "car" "118_y1_n" 4 "present" 2.63 "156t" "1" "C" "5"
"183" "156t_edesta_vas.kaantyva_auto.mp4" 1417082383150 "nothing" "118_y1_n" 4 "notpresent" 3.551 "156t" "1" "C" "5"
"184" "142t_auto_tiella.mp4" 1417081304606 "pedestrian" "118_y1_n" 5 "present" 1.418 "142t" "1" "C" "6"
"185" "142t_auto_tiella.mp4" 1417081316401 "nothing" "118_y1_n" 5 "notpresent" 3.187 "142t" "1" "C" "6"
"186" "142t_auto_tiella.mp4" 1417081324670 "car" "118_y1_n" 5 "notpresent" 3.187 "142t" "1" "C" "6"
"187" "157t_isoroba.mp4" 1415635334841 "pedestrian" "118_y1_n" 6 "present" 2.129 "157t" "1" "C" "7"
"188" "157t_isoroba.mp4" 1417082584296 "pedestrian" "118_y1_n" 6 "present" 3.222 "157t" "1" "C" "7"
"189" "157t_isoroba.mp4" 1415635289617 "nothing" "118_y1_n" 6 "notpresent" 4.573 "157t" "1" "C" "7"
"190" "139t_sturenkatu_talonkulma.NE.mp4" 1417080902176 "car" "118_y1_n" 7 "present" 2.288 "139t" "1" "C" "8"
"191" "139t_sturenkatu_talonkulma.NE.mp4" 1417080850414 "occlusion" "118_y1_n" 7 "notpresent" 3.639 "139t" "1" "C" "8"
"192" "139t_sturenkatu_talonkulma.NE.mp4" 1417080918534 "nothing" "118_y1_n" 7 "notpresent" 3.639 "139t" "1" "C" "8"
"193" "158t_jalankulkija_ja_suojatie.mp4" 1415694025834 "bicycle" "118_y1_n" 8 "present" 1.919 "158t" "1" "C" "9"
"194" "158t_jalankulkija_ja_suojatie.mp4" 1415693921254 "pedestrian" "118_y1_n" 8 "notpresent" 3.965 "158t" "1" "C" "9"
"195" "158t_jalankulkija_ja_suojatie.mp4" 1415694043645 "nothing" "118_y1_n" 8 "notpresent" 3.965 "158t" "1" "C" "9"
"196" "144t_itapasila.mp4" 1415716328260 "car" "118_y1_n" 9 "present" 1.354 "144t" "1" "C" "10"
"197" "144t_itapasila.mp4" 1415716339052 "occlusion" "118_y1_n" 9 "notpresent" 2.718 "144t" "1" "C" "10"
"198" "102t_bussi.risteys.mp4" 1415883524559 "car" "118_y1_n" 10 "present" 1.758 "102t" "1" "C" "11"
"199" "102t_bussi.risteys.mp4" 1415883895524 "nothing" "118_y1_n" 10 "notpresent" 2.893 "102t" "1" "C" "11"
"200" "102t_bussi.risteys.mp4" 1418073157142 "nothing" "118_y1_n" 10 "notpresent" 2.893 "102t" "1" "C" "11"
"201" "117t_suojatie.mp4" 1415885691202 "pedestrian" "118_y1_n" 0 "present" 1.304 "117t" "1" "C" "12"
"202" "117t_suojatie.mp4" 1415885701666 "nothing" "118_y1_n" 0 "notpresent" 2.348 "117t" "1" "C" "12"
"203" "122t_sturenkatu_bussikatos.NE.mp4" 1415698414398 "occlusion" "118_y1_n" 1 "present" 1.843 "122t" "1" "C" "13"
"204" "122t_sturenkatu_bussikatos.NE.mp4" 1415698428035 "nothing" "118_y1_n" 1 "notpresent" 3.285 "122t" "1" "C" "13"
"205" "131t_lastenvaunut.mp4" 1417080141788 "pedestrian" "118_y1_n" 2 "present" 0.925 "131t" "1" "C" "14"
